Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Post-IPO Debt - dsm-firmenich,https://www.crunchbase.com/funding_round/dsm-firmenich-post-ipo-debt--bb228af4,dsm-firmenich,https://www.crunchbase.com/organization/dsm-firmenich,Post-IPO Debt,"Maastricht, Limburg, The Netherlands, Europe",750000000,EUR,783767854,2025-02-19,,,,,No,"dsm-firmenich is a nutrition, health, and beauty pioneer and combines vital nutrients, flavors, and fragrances.","Beauty, Chemical, Health Care, Manufacturing, Nutrition",,https://www.dsm-firmenich.com,$10B+,2550000000,EUR,2748468728,IPO,2,,,,,"1,367"
Series A - EXO Biologics,https://www.crunchbase.com/funding_round/exo-biologics-series-a--716abc5b,EXO Biologics,https://www.crunchbase.com/organization/exo-biologics,Series A,"Liège, Liege, Belgium, Europe",16000000,USD,16000000,2024-04-24,Early Stage Venture,,,,Yes,EXO Biologics is a biotech company developing biopharmaceuticals using extracellular vesicles.,"Biopharma, Biotechnology, Life Science",,https://www.exobio.be/,$1M to $10M,26482433,USD,26482433,Early Stage Venture,3,Meusinvest (Noshaq),Meusinvest (Noshaq),1,,"14,717"
Grant - Bio-Sourcing,https://www.crunchbase.com/funding_round/bio-sourcing-grant--324eeb39,Bio-Sourcing,https://www.crunchbase.com/organization/bio-sourcing,Grant,"Liège, Liege, Belgium, Europe",2500000,EUR,2797776,2024-09-24,,,,,No,"BioSourcing is developing a New Generation of Biotherapeutics, in particular Monoclonal Antibodies for Global Unmet Medical Needs","Biotechnology, Health Care",,http://www.bio-sourcing.com/,,12500000,EUR,13988879,,2,EIC Accelerator,EIC Accelerator,1,,"14,988"
Venture Round - Hedera-22,https://www.crunchbase.com/funding_round/hedera-22-series-unknown--6fea4620,Hedera-22,https://www.crunchbase.com/organization/hedera-22,Venture - Series Unknown,"Liège, Liege, Belgium, Europe",2000000,EUR,2202279,2024-08-14,,,,,Yes,R&D of innovative products based on the use of new natural molecules,Biotechnology,,https://npd.hedera22.com/,,2000000,EUR,2202279,,1,,"Aravis Ventures, Gesval, K & E, Meusinvest (Noshaq)",4,1,"16,288"
Seed Round - Hyperfox,https://www.crunchbase.com/funding_round/intago-seed--f4544ccd,Hyperfox,https://www.crunchbase.com/organization/intago,Seed,"Hasselt, Limburg, Belgium, Europe",2200000,EUR,2277206,2025-01-01,Seed,,,,Yes,"The order automation platform that processes every order, hyperautomated.",Information Technology,,https://www.hyperfox.com,,3200000,EUR,3378481,Seed,2,Volta Ventures,"Limburgse Reconversie Maatschappij, The Birdhouse, Volta Ventures",3,2,"19,628"
Seed Round - MYOCENE,https://www.crunchbase.com/funding_round/myocene-seed--edd09429,MYOCENE,https://www.crunchbase.com/organization/myocene,Seed,"Liège, Liege, Belgium, Europe",3000000,EUR,3221625,2024-06-18,Seed,,,,Yes,Myocene is a Liège-based sports technology company which creates unique and innovative devices for measuring muscle fatigue and performance.,"Medical Device, Sports",,https://www.myocene.com/,$1M to $10M,6299071,EUR,6915858,Seed,9,,"Investsud, Meusinvest (Noshaq), WE International",3,,"22,213"
Secondary Market - Q-Park,https://www.crunchbase.com/funding_round/q-park-secondary-market--ed84ee7c,Q-Park,https://www.crunchbase.com/organization/q-park,Secondary Market,"Maastricht, Limburg, The Netherlands, Europe",,,,2024-12-20,,,,,No,"Q-Park provides designs, upgrades, and operates parking facilities in Europe.",Parking,,https://www.q-park.com/,$100M to $500M,,,,M&A,1,Pontegadea Inversiones,Pontegadea Inversiones,1,,"22,424"
Seed Round - Noble Boost,https://www.crunchbase.com/funding_round/noble-boost-seed--efd94069,Noble Boost,https://www.crunchbase.com/organization/noble-boost,Seed,"Maastricht, Limburg, The Netherlands, Europe",,,,2024-08-30,Seed,,,,Yes,"Noble Boost enhances nutraceuticals and skincare using noble gases, Xenon and Krypton, to improve their effectiveness.",Biotechnology,,https://nobleboost.nl/,,,,,Seed,1,,"iNOVO, Startupbootcamp",2,1,"24,484"
Seed Round - Qorium,https://www.crunchbase.com/funding_round/qorium-seed--f87d7f3b,Qorium,https://www.crunchbase.com/organization/qorium,Seed,"Maastricht, Limburg, The Netherlands, Europe",,,,2024-01-10,Seed,,,,Yes,"Real Leather, Reinvented",Biotechnology,,https://www.qorium.com,$1M to $10M,2600000,EUR,3088216,Seed,2,Sofinnova Partners,"Brightlands Venture Partners, Sofinnova Partners",2,2,"29,539"
Pre Seed Round - FlexThor,https://www.crunchbase.com/funding_round/flexthor-pre-seed--3c4cfc14,FlexThor,https://www.crunchbase.com/organization/flexthor,Pre-Seed,"Hasselt, Limburg, Belgium, Europe",15000,EUR,16208,2023-02-03,Seed,,,,Yes,Utilizing battery storage system to its full monetary potential,"Clean Energy, Energy Efficiency, Energy Storage, Internet of Things, Renewable Energy, SaaS",,https://flexthor.com/,,15000,EUR,16208,Seed,1,Startupbootcamp Renewable Energy & Net Zero,Startupbootcamp Renewable Energy & Net Zero,1,,"35,376"
Venture Round - Mosa Meat,https://www.crunchbase.com/funding_round/mosa-meat-series-unknown--5b7dd81a,Mosa Meat,https://www.crunchbase.com/organization/mosa-meat,Venture - Series Unknown,"Maastricht, Limburg, The Netherlands, Europe",40000000,EUR,42484358,2024-04-16,,,,,Yes,"Mosa Meat develops cultured beef products by growing meat from animal cells, eliminating the need for traditional livestock farming methods.","Agriculture, Food and Beverage, Food Processing, Snack Food",,http://www.mosameat.com,$100M to $500M,138448492,USD,138448492,,8,"Lowercarbon Capital, M Ventures","Doux Investments, Invest-NL, InvestEU, Limburg Energy Fund, Lowercarbon Capital, M Ventures, NV Industriebank LIOF, PHW Group, XO Ventures",9,1,"37,262"
Venture Round - Desolenator,https://www.crunchbase.com/funding_round/desolenator-series-unknown--ef90b235,Desolenator,https://www.crunchbase.com/organization/desolenator,Venture - Series Unknown,"Maastricht, Limburg, The Netherlands, Europe",,,,2022-12-05,,,,,Yes,"An evolution in water purification, powered by the photons of the sun.","CleanTech, Renewable Energy, Water, Water Purification",,https://www.desolenator.com/,$1B to $10B,,,,,6,,TenNine VC,1,1,"38,631"
Non Equity Assistance - FibriCheck,https://www.crunchbase.com/funding_round/fibricheck-non-equity-assistance--76be7d41,FibriCheck,https://www.crunchbase.com/organization/fibricheck,Non-equity Assistance,"Limburg, Liege, Belgium, Europe",,,,2024-05-29,,,,,No,FibriCheck is a medically certified screening,"Apps, Information Technology, Medical, Mobile, Software",,https://www.fibricheck.com/,$1M to $10M,12751675,USD,12751675,,6,MedTech Innovator,MedTech Innovator,1,,"44,872"
