Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
nowPredict.ai,https://www.crunchbase.com/organization/nowpredict-ai,Active,,"Analytics, Artificial Intelligence (AI), Education, Finance, Information Technology, Machine Learning, Marketing, Predictive Analytics, Retail, Software","Düsseldorf, Nordrhein-Westfalen, Germany",No-Code Instant AI Platform,"238,699","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2024-12-01,day,,,,,For Profit,https://nowpredict.ai,,,https://www.linkedin.com/company/nowpredict-ai,"nowPredict.ai empowers users to rapidly train, analyze, and explain machine learning models (regression and classification) without coding. With just a few guided clicks, users can go from raw data to a fully optimized model, complete with performance insights and explainability features, making ML accessible to both beginners and experts. Choose nowPredict.ai for... - Speed: Instantly create AI solutions with no coding required—go from raw data to insights in just a few clicks. - Ease: Empower users of all skill levels with guided tools to train, analyze, and explain machine learning models. - Flexibility: Leverage predefined business cases or customize your own tailored solutions to meet specific needs.","Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Education, Financial Services, Information Technology, Sales and Marketing, Science and Engineering, Software",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Musizieren24,https://www.crunchbase.com/organization/musizieren24,Active,,Music,"Köln, Nordrhein-Westfalen, Germany",Social Community,"966,397","European Union (EU), Europe, Middle East, and Africa (EMEA)",50931,,2024-11-11,day,,,,,For Profit,https://www.musizieren24.de,https://x.com/musizieren24,https://www.facebook.com/musizieren24,https://www.linkedin.com/company/105782596/admin/dashboard/,"Musizieren24 (Beta) ist Deutschlands neue Musikcommunity. Aktuell ist eine Testversion online. Die Plattform startet im Januar 2025,","Media and Entertainment, Music and Audio",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
volatile,https://www.crunchbase.com/organization/volatile-d524,Active,,"Artificial Intelligence (AI), Clean Energy, Energy, Energy Efficiency, Energy Management, Enterprise Software, Renewable Energy, SaaS","Aachen, Nordrhein-Westfalen, Germany",We develop AI-based SaaS solutions that help companies manage the increasing volatility within the energy system.,"266,323","European Union (EU), Europe, Middle East, and Africa (EMEA)",52070,,2024-10-25,day,,,,,For Profit,https://volatile-energy.com,,,https://www.linkedin.com/company/volatile-energy/posts/?feedView=all,"We are a team of energy and electric engineers from RWTH Aachen University developing AI-based SaaS solutions that help companies master the transition of the energy system towards a sustainable future. Our On-Demand simulation service and DataHub will provide our customers with the necessary insights that drive investment decisions and optimize daily operation to overcome the challenges associated with the structural transformation of the energy sector.  We are a Spin-Off of the Institute for Future Energy Consumer Needs and Behavior at RWTH Aachen, part of the RWTH Innovation Incubation Program in the Fall Batch 2024 and funded by the German Federal Ministry for Economic Affairs and Climate Action.","Artificial Intelligence (AI), Data and Analytics, Energy, Science and Engineering, Software, Sustainability",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
I-D Social,https://www.crunchbase.com/organization/i-d-social,Active,,"Consulting, Information Technology, Marketing","Köln, Nordrhein-Westfalen, Germany","We advise you on digital marketing, social media management and marketing automation.","444,243","European Union (EU), Europe, Middle East, and Africa (EMEA)",50931,,2024-09-01,day,,,,,,https://www.idsocial.de,https://x.com/idsocialde,https://www.facebook.com/idsocialde,https://www.linkedin.com/company/idsocialde/,"We advise you on digital marketing, social media management and marketing automation.","Information Technology, Professional Services, Sales and Marketing",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
pivio,https://www.crunchbase.com/organization/pivio,Active,,"Artificial Intelligence (AI), Health Care, InsurTech, Pet","Düsseldorf, Nordrhein-Westfalen, Germany",Pivio is a B2B provider of AI-driven solutions tailored for the pet health insurance industry.,"237,954","European Union (EU), Europe, Middle East, and Africa (EMEA)",40237,,2024-08-20,day,,,,,For Profit,https://www.pivio.ai,,,,"Pivio is a B2B provider of AI-driven solutions tailored for the pet health insurance industry. Leveraging proprietary artificial intelligence models, it transforms pet health services with innovative tools such as automated diagnostics, cost calculators, and advanced patient health record systems. Its flagship products include AI Vet Systems, setting new benchmarks for efficiency and accuracy in the sector.","Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",1.0,1-10,Jan Holzapfel,1.0,Seed,2014-10-01,,,,Seed,,,,Seed,,,,,,,"TechVision Fund, Nanz Venture, Harings Invest",,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,
Fun Inc,https://www.crunchbase.com/organization/fun-inc,Active,,"Consulting, Education, Information Technology","Merselo, Limburg, The Netherlands",Consulting Services and Productised Offerings,"617,431","European Union (EU), Europe, Middle East, and Africa (EMEA)",5815 AH,,2024-08-08,day,,,,,For Profit,https://funincompanies.com,,https://www.facebook.com/thefuninc,https://www.linkedin.com/company/the-fun-inc,"Welcome to Fun Inc, where we help companies through holistic, transformative strategies to reconnect with their customers, unlock their potential, maximize profits, and achieve sustainable growth. From organizing and driving events to building communities and sharing knowledge, our passion is to bring effective collaboration and fun back into the workplace.","Education, Information Technology, Professional Services",3.0,1-10,"Andrew Barker, Suze Treacy, Teodora Vasileva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ubitium,https://www.crunchbase.com/organization/ubitium,Active,,Semiconductor,"Düsseldorf, Nordrhein-Westfalen, Germany","Ubiquitous computing, universal RISC-V microprocessor","23,502","European Union (EU), Europe, Middle East, and Africa (EMEA)",40213,,2024-06-28,day,,,,,For Profit,http://www.ubitium.com,,,https://www.linkedin.com/company/ubitium,,"Hardware, Science and Engineering",,1-10,,1.0,Seed,2024-11-21,3700000.0,USD,3700000.0,Seed,3700000.0,USD,3700000.0,Seed,3700000.0,USD,3700000.0,3700000.0,USD,3700000.0,"Inflection.xyz, Runa Capital, KBC Focus Fund",3.0,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,
neuroTime,https://www.crunchbase.com/organization/neurotime,Active,,,"Duisburg, Nordrhein-Westfalen, Germany",neuroTime provides an individual and family Services.,"876,936","European Union (EU), Europe, Middle East, and Africa (EMEA)",47119,,2024-06-04,day,,,,,For Profit,https://www.neurotime.de/,,https://www.facebook.com/neurotime.de,https://www.linkedin.com/company/neuro-time,,,2.0,1-10,"Dirk Mueller-Remus, Niels Schepers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Jobberjob,https://www.crunchbase.com/organization/jobberjob,Active,,,"Cologne, Nordrhein-Westfalen, Germany","Jobberjob is a free platform connecting job seekers and employers, simplifying job searches and hiring across various industries.","2,230,944","European Union (EU), Europe, Middle East, and Africa (EMEA)",50767,,2024-04-15,day,,,,,For Profit,https://jobberjob.com,,https://www.facebook.com/JobberJobCOM/,,"Jobberjob is a free, user-friendly platform connecting job seekers with employers across various industries. We provide a streamlined job search experience, offering comprehensive listings, easy application processes, and valuable resources to help candidates and businesses find the right match. Our mission is to simplify the job hunt and empower both employers and talent with a cost-effective recruitment solution.",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Magifind,https://www.crunchbase.com/organization/magifind,Active,,"E-Commerce, Media and Entertainment","Kinrooi, Limburg, Belgium",Smart Site Search SaaS,"564,242","European Union (EU), Europe, Middle East, and Africa (EMEA)",3640,,2024-04-04,day,,,,,For Profit,https://www.magifind.com,https://www.x.com/magifind,,https://www.linkedin.com/company/103400089,"Magifind uses advanced AI and natural language processing to truly understand the intent behind a customer's search, not just match keywords. This semantic search approach allows Magifind to return highly relevant results, guiding customers to the exact products they are looking for faster.","Commerce and Shopping, Media and Entertainment",3.0,1-10,"Koen van Eijk, Placeholder Placeholder, Thomas van Turnhout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
