Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
EnerALL - Electro Chemical Systems,https://www.crunchbase.com/organization/enerall-electro-chemical-systems,Active,,"Battery, Chemical, Electronics, Fuel Cell","Willich, Nordrhein-Westfalen, Germany",EnerALL - Electro Chemical Systems is an electro chemical technology company.,"1,313,652","European Union (EU), Europe, Middle East, and Africa (EMEA)",47877,,2017-12-29,day,,,,,For Profit,https://www.enerall-gmbh.com,,,https://www.linkedin.com/company/enerall---electro-chemical-systems-gmbh,"EnerALL - Electro Chemical Systems is an electrochemical technology company. They play a pivotal role in smart and efficient energy conversion processes, making this earth a more liveable place. They manufacture fuel cells, batteries, EHP. They are fuel cell & smart energy protagonists. They provide services to make cost-effec­tive components for use in electrochemical systems. They can be contacted by phone and email.","Consumer Electronics, Energy, Hardware, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
CHMPS,https://www.crunchbase.com/organization/chmps,Active,,"E-Commerce, Fashion, Sales","Helden, Limburg, The Netherlands",CHMPS is an online clothing and fashion store.,"1,323,045","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-12-21,day,,,,,For Profit,https://www.chmpswear.com/,,https://www.facebook.com/chmpswear/,,,"Clothing and Apparel, Commerce and Shopping, Design, Sales and Marketing",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Rock the Web,https://www.crunchbase.com/organization/rock-the-web,Active,,"Advertising, Marketing, Web Development","Heerlen, Limburg, The Netherlands",Rock the Web develops a strong online positioning & combines powerful and unique design with a data-driven marketing approach.,"3,053,461","European Union (EU), Europe, Middle East, and Africa (EMEA)",6412 CN,Less than $1M,2017-12-20,day,,,,,For Profit,http://www.rocktheweb.nl,,,https://www.linkedin.com/company/rock-the-web,,"Advertising, Sales and Marketing, Software",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Glorious Home,https://www.crunchbase.com/organization/glorious-home,Active,,"E-Commerce, Home Decor, Retail","Venlo, Limburg, The Netherlands",Glorious Home is an online shop that provides handmade home decor products.,"1,882,238","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-12-07,day,,,,,For Profit,https://www.glorioushome.nl/,,https://www.facebook.com/glorioushome01/,,,"Commerce and Shopping, Real Estate",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
1NCE,https://www.crunchbase.com/organization/1nce-gmbh,Active,,"Business Intelligence, Data Management, Internet of Things, Smart Building, Smart Cities, Software, Telecommunications, Wireless","Köln, Nordrhein-Westfalen, Germany",1NCE is the only provider of connectivity and software for IoT at a global flat rate,"5,177","European Union (EU), Europe, Middle East, and Africa (EMEA)",50676,Less than $1M,2017-12-01,month,,,,,For Profit,https://1nce.com,https://twitter.com/1NCE_IoT,https://www.facebook.com/1NCEGmbH,https://www.linkedin.com/company/18471615/,"1NCE is the only provider of connectivity and software for IoT at a global flat rate – offering fast, secure, and reliable cellular connectivity and software services in 140 countries worldwide. The 1NCE IoT Flat Rate is designed to last over the entire lifetime of an IoT device with a one-off payment of $10 (€10) for 10 years, making IoT applications affordable and scalable for smart utilities, asset tracking, vehicle telematics and other uses.  The company – founded in 2017 by CEO Alexander P. Sator together with Deutsche Telekom AG – is headquartered in Cologne, Germany and has 200 staff in Amsterdam, Cologne, Hamburg, Hong Kong, London, Miami, Paris, Riga, Rome, and Warsaw.","Data and Analytics, Hardware, Internet Services, Mobile, Real Estate, Software",3,251-500,"Alexander Bufalino, Alexander P Sator, Kim Juchem",3,,2022-06-08,,,,Venture - Series Unknown,,,,Venture - Series Unknown,50000000,USD,50000000,50000000,USD,50000000,"SoftBank Vision Fund, SoftBank, I Squared Capital, Deutsche Telekom",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,7
hebbons.nl,https://www.crunchbase.com/organization/hebbons-nl,Active,,"E-Commerce, Gift, Retail","Venray, Limburg, The Netherlands","hebbons.nl is an online shop that provides gadgets, t-shirts and gifts.","3,425,872","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-12-01,day,,,,,For Profit,https://www.hebbons.nl/,https://www.twitter.com/hebbonsnl,https://www.facebook.com/hebbons/,,,Commerce and Shopping,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Boujée,https://www.crunchbase.com/organization/boujée-clothing,Active,,"E-Commerce, Fashion, Men's, Retail","Roermond, Limburg, The Netherlands",Boujée is an e-commerce company that delivers different ranges of clothes for men.,"3,666,924","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-12-01,day,,,,,For Profit,http://www.boujee-clothing.com,,https://www.facebook.com/BoujeeCL/,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Capilli Extensions,https://www.crunchbase.com/organization/capilli-extensions,Active,,"Beauty, Lifestyle, Manufacturing, Sales","Kerkrade, Limburg, The Netherlands",Capilli Extensions is a hair products exporter and manufacturer.,"1,619,427","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-11-23,day,,,,,For Profit,http://www.capilli-extensions.com,https://www.twitter.com/capillihair,,,,"Community and Lifestyle, Consumer Goods, Manufacturing, Sales and Marketing",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Yatke,https://www.crunchbase.com/organization/yatke,Active,,"Food and Beverage, Plant-Based Foods, Software","Tongeren, Limburg, Belgium",YATKE is the Plant Based Foods Ecosystem Intelligence platform.,"136,872","European Union (EU), Europe, Middle East, and Africa (EMEA)",3700,Less than $1M,2017-11-17,day,,,,,For Profit,http://www.yatke.com,https://twitter.com/Yatke_,,https://www.linkedin.com/company/10784381/,"YATKE wants to help create a world where we eat delicious, healthy food and use amazing products that make us happy and have minimum impact on the planet. Based on public data we help organisations shifting to an offer without a cow. That’s why we build a platform that collects, enriches and analyses data from the worldwide Vegan ecosystem: users, NGO’s, companies, bloggers and various other media. We provide Aggregated Data as a Service.","Food and Beverage, Software",1,1-10,Stijn Scholts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ponytail & Co,https://www.crunchbase.com/organization/ponytail-co,Active,,"B2C, E-Commerce, Fashion, Jewelry","Beek, Limburg, The Netherlands",Ponytail & Co is an online website that sells the highest quality of steel made jewelry.,"2,919,540","European Union (EU), Europe, Middle East, and Africa (EMEA)",,Less than $1M,2017-11-17,day,,,,,For Profit,http://www.ponytailandco.com,,https://www.facebook.com/ponytailandco/,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Other",,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
