Organization Name,Organization Name URL,Operating Status,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description,Industry Groups,Number of Founders,Number of Employees,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Number of Events
Fimo Health,https://www.crunchbase.com/organization/fimo-health,Active,,"Health Care, Medical, Medical Device","Köln, Nordrhein-Westfalen, Germany",We build the leading ecosystem for patients suffering from fatigue in chronic diseases.,"254,124","European Union (EU), Europe, Middle East, and Africa (EMEA)",50827,Less than $1M,2019-12-30,day,,,,,For Profit,https://fimohealth.com,,https://www.facebook.com/FIMOHealth,https://www.linkedin.com/company/19077321/,"Fimo Health is building the leading ecosystem for patients suffering from fatigue in chronic diseases by combining data, science and technology. Our solution is already available for Long Covid, Multiple Sclerosis and ME/CFS (only CE-certified solution for Long Covid) and soon will follow a version for Oncology. The app is already reimbursed by several health insurances with more than 20 million members.",Health Care,2,11-50,"Alexander Krawinkel, Dominik Stiegeler",1,Seed,2022-06-08,,,,Seed,,,,Seed,,,,,,,"Rockstart, LUMO labs, NRW.BANK, Barmenia Next Strategies",2,4,,,,,,,,,,,,,,Private,,,,,,,,,,,
Edloomio,https://www.crunchbase.com/organization/edloomio,Active,,"E-Learning, Human Resources, SaaS, Software","Sittard, Limburg, The Netherlands",The flexible learning platform,"299,044","European Union (EU), Europe, Middle East, and Africa (EMEA)",6136KT,$1M to $10M,2019-12-28,day,,,,,For Profit,https://edloomio.com,https://twitter.com/edloomio,https://www.facebook.com/edloomio/,https://www.linkedin.com/company/edloomio,"At edloomio, we create smart learning solutions for businesses. Our platform includes three products: edloomio LMS for compliance-focused training, Training Cloud for training providers, and SaaS for managing multiple branded LMS instances. We’re dedicated to making learning simple, scalable, and impactful.","Administrative Services, Education, Software",4,11-50,"Bjorn Overbeek, Johan Kenzeler, Peter Lemmens, Ruud Overbeek",2,Seed,2022-10-01,,,,Seed,,,,Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Horti24,https://www.crunchbase.com/organization/horti24,Active,,E-Commerce,"Venlo, Limburg, The Netherlands",Horti24 is a platform that connects selected and reliable manufacturers with smart growers through a diverse range of products.,"3,106,090","European Union (EU), Europe, Middle East, and Africa (EMEA)",5911,Less than $1M,2019-12-06,day,,,,,For Profit,http://www.horti24.nl,,,,,Commerce and Shopping,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
crop.zone,https://www.crunchbase.com/organization/crop-zone,Active,,"Agriculture, AgTech, Farming","Aachen, Nordrhein-Westfalen, Germany",crop.zone provides farmers with chemistry-free tools for weed control and harvest preparation.,"29,673","European Union (EU), Europe, Middle East, and Africa (EMEA)",52076,$1B to $10B,2019-12-01,day,,,,,For Profit,https://crop.zone/,https://twitter.com/crop_zone,https://www.facebook.com/crop.zone/,https://www.linkedin.com/company/cropzone/,"Crop.Zone provides farmers with chemistry-free tools for weed control and harvest preparation. Its patented solution can replace a significant part of today’s synthetic herbicide use, providing a competitive alternative for weed management hence contributing to yield optimization and farm profitability, while contributing to sustainability goals. The company was founded in 2020 and is headquartered in Aachen, Germany.",Agriculture and Farming,7,51-100,"Dirk Vandenhirtz, Fabian Effey, Marcus Lehnen, Matthias Eberius, Michiel de Jongh, Nils Gerber, Ulrich Berners",2,Early Stage Venture,2022-06-07,11000000,USD,11000000,Series A,11000000,USD,11000000,Series A,12664145,USD,12664145,12664145,USD,12664145,"Demeter, Nufarm, MADAUS Capital Partners",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,3
AES Autonome Energiesysteme GmbH,https://www.crunchbase.com/organization/aes-autonome-energiesysteme,Active,,Renewable Energy,"Merzenich, Nordrhein-Westfalen, Germany",Development and marketing of a new plant technology for highly efficient on-site pyrolysis of mixed plastic waste streams.,"400,736","European Union (EU), Europe, Middle East, and Africa (EMEA)",52399,,2019-12-01,month,,,,,For Profit,https://www.aestechnik.de/,,,https://www.linkedin.com/company/aes-autonome-energiesysteme-gmbh,Development and marketing of a new plant technology for highly efficient on-site thermal recycling of bio- and plastic waste.,"Energy, Sustainability",3,1-10,"Andres Sheldrick, Jonas Bonus, Marco Karber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
e-Origin,https://www.crunchbase.com/organization/e-origin,Active,,"Consulting, E-Commerce, Information Technology, Logistics","Liège, Liege, Belgium",E-ORIGIN offers e-commerce solutions to improve cross-border parcel flow and ensure customs compliance.,"1,037,437","European Union (EU), Europe, Middle East, and Africa (EMEA)",4460,$1M to $10M,2019-12-01,month,,,,,For Profit,https://eorigin.eu,,https://www.facebook.com/eorigineu,https://www.linkedin.com/company/eorigin,,"Commerce and Shopping, Information Technology, Professional Services, Transportation",1,1-10,Yanis Kyriakides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Ella & Witt Fashion,https://www.crunchbase.com/organization/ella-witt-fashion,Active,,,"Cologne, Nordrhein-Westfalen, Germany","Ella & Witt Fashion is an ethical, sustainable, vegan shoe and fashion label.","1,896,399","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,2019-12-01,month,,,,,For Profit,https://ella-witt.com,,https://www.facebook.com/ellaundwitt,https://www.linkedin.com/company/ella-witt,"Ella & Witt Fashion is an ethical, sustainable, vegan shoe and fashion label. All of their products are PETA and animal free certified. Ella & Witt Fashion is based in Germany and was founded in 2019.",,2,1-10,"Ercin Filizli, Torsten Lasar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Family Missions by Kid-Coins GmbH,https://www.crunchbase.com/organization/faam-ly-by-kid-coins-gmbh,Active,,,"Düsseldorf, Nordrhein-Westfalen, Germany","Your Social Impact Startup for Families! Ideas & Inspiration for small family projects, combining digital & real world experience!","207,823","European Union (EU), Europe, Middle East, and Africa (EMEA)",40219,,2019-11-07,day,,,,,For Profit,https://family-missions.com,,,,Families are the nucleus for our future! Social interaction & time with the family are formative for the development of our children! Our Family Missions App gives Families Ideas & Inspiration with a gamified step by step approach for small family projects. Our goal is to combine the digital & real world! We want to give families ideas for common leasure time and how to facilitate daily routines. Our apps are available on the apple store and the google play store.,,,1-10,,3,Seed,2021-07-01,335000,EUR,396834,Convertible Note,210000,EUR,231575,Seed,210000,EUR,231575,745000,EUR,869825,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
Avenga,https://www.crunchbase.com/organization/Avenga,Active,,"Developer Tools, Internet, Mobile, Software","Köln, Nordrhein-Westfalen, Germany","Avenga offers strategic IT-consulting, UX/UI, software development and web implementation services for multiple platforms.","210,863","European Union (EU), Europe, Middle East, and Africa (EMEA)",50667,$1B to $10B,2019-11-01,month,2023-12-15,day,,,For Profit,http://www.avenga.com,http://twitter.com/avenga,,http://www.linkedin.com/company/avenga,"Avenga is an IT and digital transformation champion. We deliver strategy, customer experience, solution engineering, managed services, and software products.","Internet Services, Mobile, Software",1,1001-5000,Jan Webering,,M&A,,,,,,,,,,,,,,,,,,,1,"Made Acquisitions, Was Acquired",Avenga acquired by KKCG Group,https://www.crunchbase.com/acquisition/kkcg-group-acquires-Avenga--02fcb227,KKCG Group,https://www.crunchbase.com/organization/kkcg-group,2023-12-15,day,,,,Acquisition,,Private,,,,,,,,,,,1
Brajuu,https://www.crunchbase.com/organization/brajuu,Active,,E-Commerce,"Cologne, Nordrhein-Westfalen, Germany",Fashion-Tech Start-Up that unf*cks bra-shopping!,"632,425","European Union (EU), Europe, Middle East, and Africa (EMEA)",50676,,2019-11-01,day,,,,,For Profit,https://www.brajuu.com,,https://www.facebook.com/Brajuu.tech/,https://www.linkedin.com/company/brajuu/about/,"Feminine, delicate, bold and strong. This is Brajuu. A brand that is empowering the female body, pointing out the beauty of every shape, size and fit. Brajuu is proud of womanhood and loves curves and edges. We‘re developing a new way to shop bras online. Smart technology meets lingerie, that what makes us a #boobtech start-up. Our vision is: Perfectly fitting bras for everyone from everywhere. Because we're convinced that #alltitsaregoodtits.  Stay tuned for our launch!",Commerce and Shopping,2,1-10,"Lea Matschke, Melanie Wagenfort",1,Seed,2021-07-20,,,,Pre-Seed,,,,Pre-Seed,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,
